Name	Govdirectory URL	Type	Website	source_file
Camea	https://www.govdirectory.org/east-timor/Q1028437/	suco of East Timor		East Timor
Camenaça	https://www.govdirectory.org/east-timor/Q1028519/	suco of East Timor		East Timor
Caraubalo	https://www.govdirectory.org/east-timor/Q1035424/	suco of East Timor		East Timor
Casabauc	https://www.govdirectory.org/east-timor/Q1046595/	suco of East Timor		East Timor
Cassa	https://www.govdirectory.org/east-timor/Q1048193/	suco of East Timor		East Timor
Catrai Caraic	https://www.govdirectory.org/east-timor/Q1051262/	suco of East Timor		East Timor
Catraileten	https://www.govdirectory.org/east-timor/Q1051263/	suco of East Timor		East Timor
Clacuc	https://www.govdirectory.org/east-timor/Q1094633/	suco of East Timor		East Timor
Coilate-Letelo	https://www.govdirectory.org/east-timor/Q1107177/	suco of East Timor		East Timor
Colimau	https://www.govdirectory.org/east-timor/Q1108312/	suco of East Timor		East Timor
Colmera	https://www.govdirectory.org/east-timor/Q1110155/	suco of East Timor		East Timor
Com	https://www.govdirectory.org/east-timor/Q1113151/	suco of East Timor		East Timor
Comoro	https://www.govdirectory.org/east-timor/Q1120775/	suco of East Timor		East Timor
Costa	https://www.govdirectory.org/east-timor/Q998923/	suco of East Timor		East Timor
Cota Bo’ot	https://www.govdirectory.org/east-timor/Q1136560/	suco of East Timor		East Timor
Cotamutu	https://www.govdirectory.org/east-timor/Q1136567/	suco of East Timor		East Timor
Cotolau	https://www.govdirectory.org/east-timor/Q1136641/	suco of East Timor		East Timor
Cowa	https://www.govdirectory.org/east-timor/Q1138152/	suco of East Timor		East Timor
Cribas	https://www.govdirectory.org/east-timor/Q1139869/	suco of East Timor		East Timor
Culu Hun	https://www.govdirectory.org/east-timor/Q1143572/	suco of East Timor		East Timor
Cunha	https://www.govdirectory.org/east-timor/Q1143967/	suco of East Timor		East Timor
Dare, East Timor	https://www.govdirectory.org/east-timor/Q1165786/	suco of East Timor		East Timor
Darulete	https://www.govdirectory.org/east-timor/Q1166817/	suco of East Timor		East Timor
Dato	https://www.govdirectory.org/east-timor/Q1172623/	suco of East Timor		East Timor
Dato Rua	https://www.govdirectory.org/east-timor/Q1172630/	suco of East Timor		East Timor
Dato Tolu	https://www.govdirectory.org/east-timor/Q1172631/	suco of East Timor		East Timor
Daudere	https://www.govdirectory.org/east-timor/Q1172827/	suco of East Timor		East Timor
Debos	https://www.govdirectory.org/east-timor/Q1181614/	suco of East Timor		East Timor
Defawasi	https://www.govdirectory.org/east-timor/Q1182557/	suco of East Timor		East Timor
Deleso	https://www.govdirectory.org/east-timor/Q1184094/	suco of East Timor		East Timor
Deudet	https://www.govdirectory.org/east-timor/Q1201644/	suco of East Timor		East Timor
Dilor	https://www.govdirectory.org/east-timor/Q283819/	suco of East Timor		East Timor
Dotik	https://www.govdirectory.org/east-timor/Q1251193/	suco of East Timor		East Timor
Ducurai	https://www.govdirectory.org/east-timor/Q1263595/	suco of East Timor		East Timor
Duyung	https://www.govdirectory.org/east-timor/Q1268128/	suco of East Timor		East Timor
Edi	https://www.govdirectory.org/east-timor/Q1284440/	suco of East Timor		East Timor
Eraulo	https://www.govdirectory.org/east-timor/Q1348157/	suco of East Timor		East Timor
Estado	https://www.govdirectory.org/east-timor/Q1369681/	suco of East Timor		East Timor
Euquisi	https://www.govdirectory.org/east-timor/Q1374221/	suco of East Timor		East Timor
Fadabloco	https://www.govdirectory.org/east-timor/Q1391797/	suco of East Timor		East Timor
Fahilebo	https://www.govdirectory.org/east-timor/Q1392059/	suco of East Timor		East Timor
Fahinehan	https://www.govdirectory.org/east-timor/Q1286575/	suco of East Timor		East Timor
Fahiria	https://www.govdirectory.org/east-timor/Q1392064/	suco of East Timor		East Timor
Fahisoi	https://www.govdirectory.org/east-timor/Q1392063/	suco of East Timor		East Timor
Fahisoi	https://www.govdirectory.org/east-timor/Q1392067/	suco of East Timor		East Timor
Fatisi	https://www.govdirectory.org/east-timor/Q1398165/	suco of East Timor		East Timor
Fatubessi	https://www.govdirectory.org/east-timor/Q984955/	suco of East Timor		East Timor
Fatubessi	https://www.govdirectory.org/east-timor/Q1398295/	suco of East Timor		East Timor
Fatubossa	https://www.govdirectory.org/east-timor/Q1398298/	suco of East Timor		East Timor
